g	ग्राम
kg	किलोग्राम
kg	किलो ग्राम
kg	किलो
kg	किग्रा
mg	मिलिग्राम
mg	मिलि ग्राम
cg	सेंटीग्राम
cg	सेंटी ग्राम
dg	डेसिग्राम
dg	डेसि ग्राम
t	टन
t	मीट्रिक टन
st	स्टोन
lb	पाउंड
oz	औंस
q	क्विंटल
